Field,ID,Type (Tipo),default,en-us
Description,2,Texto,"IMPORTANTE: Este aplicativo funciona com o Windows 10 Pro e Home.

O VCL CardPanel® é um software de demonstração de como utilizar RAD Studio com Desktop Bridge para publicar uma aplicação VCL na Windows Store para PCs que executam o Windows. Ele possui uma interface de usuário intuitiva.

Ele é um demo que vem junto com a ferramenta RAD Studio e foi utilizado no evento da Embarcadero Conference Brasil 2018 durante apresentação na palestra Deploy de uma aplicação VCL ou FMX para Windows Store por Marcos Antonio Moreira Embarcadero MVP. 

Resumo da palestra: Como distribuir a sua aplicação para Windows Store. Mostrar as funcionalidades e suporte para Windows Store e configurar o Windows SDK. Preparar o projeto para distribuição, provisionamento e submeter sua aplicação.

O aplicativo é freeware na Windows Store. Você terá a conveniência de uma instalação rápida e fácil em todos os seus dispositivos Windows, além de atualizações automáticas nos bastidores com todos os recursos, melhorias e correções mais recentes.","IMPORTANT: This application works with Windows 10 Pro and Home.

CardPanel® VCL is software demonstration of how to use RAD Studio with Desktop Bridge to run an application in the Windows Store for PCs running Windows. It has an intuitive user interface.

It is a demo that comes along with the RAD Studio tool and was used in the Embarcadero Conference Brazil 2018 event during the presentation on the lecture Implementation of a VCL or FMX application for Windows Store by Marcos Antonio Moreira Embarcadero MVP.

Summary of the talk: How to distribute your application to Windows Store. Show as functionality and support for Windows Store and configure the Windows SDK. Prepare the project for distribution, delivery and execution of your application.

The application is freeware in the Windows Store. You have quick and easy installation on all your Windows systems, as well as automatic behind-the-scenes updates with all the latest features, enhancements, and fixes."
ReleaseNotes,3,Texto,Versão 1.1.1.0,Version 1.1.1.0
Title,4,Texto,VCL CardPanel Demo EC2018,VCL CardPanel Demo EC2018
ShortTitle,5,Texto,VCL CardPanel Demo EC2018,VCL CardPanel Demo EC2018
SortTitle,6,Texto,CardPanel Demo EC2018,CardPanel Demo EC2018
VoiceTitle,7,Texto,CardPanel EC2018,CardPanel Voice EC2018
ShortDescription,8,Texto,CardPanel Short EC2018,CardPanel Short EC2018
DevStudio,9,Texto,Embarcadero RAD Studio,Embarcadero RAD Studio
CopyrightTrademarkInformation,12,Texto,EC2018,EC2018
AdditionalLicenseTerms,13,Texto,Freeware,Freeware
DesktopScreenshot1,100,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),Listagem/Screeshort.png,
DesktopScreenshot2,101,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot3,102,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot4,103,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot5,104,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot6,105,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot7,106,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot8,107,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot9,108,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshot10,109,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
DesktopScreenshotCaption1,150,Texto,Imagem da aplicação Demo,Screenshot application Demo
DesktopScreenshotCaption2,151,Texto,,
DesktopScreenshotCaption3,152,Texto,,
DesktopScreenshotCaption4,153,Texto,,
DesktopScreenshotCaption5,154,Texto,,
DesktopScreenshotCaption6,155,Texto,,
DesktopScreenshotCaption7,156,Texto,,
DesktopScreenshotCaption8,157,Texto,,
DesktopScreenshotCaption9,158,Texto,,
DesktopScreenshotCaption10,159,Texto,,
MobileScreenshot1,200,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot2,201,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot3,202,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot4,203,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot5,204,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot6,205,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot7,206,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot8,207,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot9,208,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshot10,209,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
MobileScreenshotCaption1,250,Texto,,
MobileScreenshotCaption2,251,Texto,,
MobileScreenshotCaption3,252,Texto,,
MobileScreenshotCaption4,253,Texto,,
MobileScreenshotCaption5,254,Texto,,
MobileScreenshotCaption6,255,Texto,,
MobileScreenshotCaption7,256,Texto,,
MobileScreenshotCaption8,257,Texto,,
MobileScreenshotCaption9,258,Texto,,
MobileScreenshotCaption10,259,Texto,,
XboxScreenshot1,300,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot2,301,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot3,302,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot4,303,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot5,304,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot6,305,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot7,306,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot8,307,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot9,308,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshot10,309,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxScreenshotCaption1,350,Texto,,
XboxScreenshotCaption2,351,Texto,,
XboxScreenshotCaption3,352,Texto,,
XboxScreenshotCaption4,353,Texto,,
XboxScreenshotCaption5,354,Texto,,
XboxScreenshotCaption6,355,Texto,,
XboxScreenshotCaption7,356,Texto,,
XboxScreenshotCaption8,357,Texto,,
XboxScreenshotCaption9,358,Texto,,
XboxScreenshotCaption10,359,Texto,,
HolographicScreenshot1,400,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot2,401,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot3,402,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot4,403,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot5,404,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot6,405,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot7,406,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot8,407,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot9,408,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshot10,409,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
HolographicScreenshotCaption1,450,Texto,,
HolographicScreenshotCaption2,451,Texto,,
HolographicScreenshotCaption3,452,Texto,,
HolographicScreenshotCaption4,453,Texto,,
HolographicScreenshotCaption5,454,Texto,,
HolographicScreenshotCaption6,455,Texto,,
HolographicScreenshotCaption7,456,Texto,,
HolographicScreenshotCaption8,457,Texto,,
HolographicScreenshotCaption9,458,Texto,,
HolographicScreenshotCaption10,459,Texto,,
StoreLogo720x1080,600,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogo1080x1080,601,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogo300x300,602,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OverrideLogosForWin10,603,True/False,,False
StoreLogoOverride150x150,604,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
StoreLogoOverride71x71,605,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
PromoImage1920x1080,606,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
PromoImage2400x1200,607,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxBrandedKeyArt584x800,608,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxTitledHero1920x1080,609,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
XboxFeaturedPromo1080x1080,610,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo358x358,611,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo1000x800,612,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
OptionalPromo414x180,613,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Feature1,700,Texto,,
Feature2,701,Texto,,
Feature3,702,Texto,,
Feature4,703,Texto,,
Feature5,704,Texto,,
Feature6,705,Texto,,
Feature7,706,Texto,,
Feature8,707,Texto,,
Feature9,708,Texto,,
Feature10,709,Texto,,
Feature11,710,Texto,,
Feature12,711,Texto,,
Feature13,712,Texto,,
Feature14,713,Texto,,
Feature15,714,Texto,,
Feature16,715,Texto,,
Feature17,716,Texto,,
Feature18,717,Texto,,
Feature19,718,Texto,,
Feature20,719,Texto,,
MinimumHardwareReq1,800,Texto,,
MinimumHardwareReq2,801,Texto,,
MinimumHardwareReq3,802,Texto,,
MinimumHardwareReq4,803,Texto,,
MinimumHardwareReq5,804,Texto,,
MinimumHardwareReq6,805,Texto,,
MinimumHardwareReq7,806,Texto,,
MinimumHardwareReq8,807,Texto,,
MinimumHardwareReq9,808,Texto,,
MinimumHardwareReq10,809,Texto,,
MinimumHardwareReq11,810,Texto,,
RecommendedHardwareReq1,850,Texto,,
RecommendedHardwareReq2,851,Texto,,
RecommendedHardwareReq3,852,Texto,,
RecommendedHardwareReq4,853,Texto,,
RecommendedHardwareReq5,854,Texto,,
RecommendedHardwareReq6,855,Texto,,
RecommendedHardwareReq7,856,Texto,,
RecommendedHardwareReq8,857,Texto,,
RecommendedHardwareReq9,858,Texto,,
RecommendedHardwareReq10,859,Texto,,
RecommendedHardwareReq11,860,Texto,,
SearchTerm1,900,Texto,,
SearchTerm2,901,Texto,,
SearchTerm3,902,Texto,,
SearchTerm4,903,Texto,,
SearchTerm5,904,Texto,,
SearchTerm6,905,Texto,,
SearchTerm7,906,Texto,,
TrailerToPlayAtTopOfListing,999,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer1,1000,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer2,1001,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer3,1002,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer4,1003,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer5,1004,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer6,1005,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer7,1006,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer8,1007,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer9,1008,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer10,1009,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer11,1010,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer12,1011,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer13,1012,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer14,1013,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
Trailer15,1014,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerTitle1,1020,Texto,,
TrailerTitle2,1021,Texto,,
TrailerTitle3,1022,Texto,,
TrailerTitle4,1023,Texto,,
TrailerTitle5,1024,Texto,,
TrailerTitle6,1025,Texto,,
TrailerTitle7,1026,Texto,,
TrailerTitle8,1027,Texto,,
TrailerTitle9,1028,Texto,,
TrailerTitle10,1029,Texto,,
TrailerTitle11,1030,Texto,,
TrailerTitle12,1031,Texto,,
TrailerTitle13,1032,Texto,,
TrailerTitle14,1033,Texto,,
TrailerTitle15,1034,Texto,,
TrailerThumbnail1,1040,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail2,1041,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail3,1042,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail4,1043,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail5,1044,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail6,1045,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail7,1046,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail8,1047,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail9,1048,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail10,1049,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail11,1050,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail12,1051,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail13,1052,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail14,1053,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
TrailerThumbnail15,1054,Caminho relativo (ou URL para arquivo no Centro de Desenvolvimento),,
